latitude,longitude,uuid,kreis_name,kreis_schluessel,gemeindeverband_name,gemeindeverband_schluessel,gemeinde_name,gemeinde_schluessel,gemeindeteil_name,gemeindeteil_schluessel,strasse_name,strasse_schluessel,hausnummer,hausnummer_zusatz,postleitzahl,bezeichnung,betreiber,barrierefrei,oeffnungszeiten,telefon_festnetz,telefon_mobil,email,website
54.0880582462384,12.1200498836253,68ead66a-f7d8-11e4-bbaf-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Kröpeliner-Tor-Vorstadt,"0016",Leonhardstr.,"06550",1,,"18057",Adler-Apotheke,Antje Urban,1,"Mo-Fr 08:00-19:00; Sa 09:00-13:30",+49 381 2002200,,info@adlerapotheke-rostock.de,https://www.adlerapotheke-rostock.de/
54.1195869144857,12.0598219148053,689a9ec0-f7d8-11e4-bb98-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Evershagen,"0011",Henrik-Ibsen-Str.,"03490",29,,"18106",Poseidon-Apotheke,Torsten Stenzel e.K.,1,"Mo-Fr 08:00-18:30; Sa 08:00-12:00",+49 381 2074960,,mitunsgesund@gmail.com,https://www.mitunsgesund.de/website/
54.1014385976092,12.1193609439161,68a89412-f7d8-11e4-bb9c-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Gehlsdorf,"0025",Fährstr.,"02330",7,,"18147",Gehlsdorfer Apotheke,Dr. Christian Schnittker e.K.,,"Mo-Fr 08:00-18:00; Sa 09:00-12:00",+49 381 690417,,info@gehlsdorfer-apotheke.de,https://www.gehlsdorfer-apotheke.de/
54.0893883408665,12.0974728223747,6920b38e-f7d8-11e4-bbbe-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Hansaviertel,"0014",Hans-Sachs-Allee,"03340",12,,"18057",Bernstein-Apotheke,Martina Streibel e.Kfr.,1,"Mo-Fr 08:00-18:30; Sa 08:00-12:00",+49 381 4923434,,bernstein-apotheke-rostock@t-online.de,https://www.bernstein-apotheke-rostock.de/
54.0886407059027,12.1394991579769,690b71ea-f7d8-11e4-bbb8-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Stadtmitte,"0019",Neuer Markt,"07250",13,,"18055",Rats-Apotheke,Alf Graeßner e.K.,1,"Mo-Fr 08:00-18:00; Sa 09:00-13:00",+49 381 4934747,,info@ratsapotheke-rostock.de,https://www.ratsapotheke-rostock.de/
54.1148909095048,12.1450928874758,68d5d814-f7d8-11e4-bba9-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Toitenwinkel,"0024",Salvador-Allende-Str.,"08170",28,,"18147",Ahorn-Apotheke,Dr. Christian Schnittker e.K.,,"Mo-Fr 08:00-18:00; Sa 09:00-12:00",+49 381 699630,,info@ahorn-apotheke-rostock.de,https://www.ahorn-apotheke-rostock.de/
54.1220237776192,12.0570207194798,68972056-f7d8-11e4-bb97-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Evershagen,"0011",Ehm-Welk-Str.,"01900",22,,"18106",Sonnen-Apotheke,"Dr. Christiane Geiger e.Kfr.; Inge Geiger e.Kfr.",1,"Mo-Fr 08:00-18:30; Sa 08:30-12:00",+49 381 7699443,,sonnen-apotheke-rostock@t-online.de,https://www.sonnenapotheke-rostock.de/
54.0988021909267,12.0790228641383,689e13c0-f7d8-11e4-bb99-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Reutershagen,"0013",Ernst-Thälmann-Str.,"02240",4,,"18069",Ostsee-Apotheke,Axel C. Pohlmann e.K.,1,"Mo-Fr 08:00-18:00; Sa 09:00-12:00",+49 381 260531350,,info@gesundcenter.de,https://www.gesundcenter.de/
54.1765853334612,12.0837834358007,6932f666-f7d8-11e4-bbc3-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Kirchenplatz,"05910",5,,"18119",Kur-Apotheke,Karsten Jantos,1,"Mo-Fr 08:00-19:00; Sa 08:00-16:00",+49 381 52286,,pka.kur-apotheke@t-online.de,https://www.kur-apotheke-rostock.de/
54.1766695664167,12.0861198384078,692f40b6-f7d8-11e4-bbc2-0050569b7e95,Rostock,"13003","Rostock, Hanse- und Universitätsstadt","130030000","Rostock, Hanse- und Universitätsstadt","130030000000",Seebad Warnemünde,"0001",Kirchenplatz,"05910",13,,"18119",Detharding-Apotheke,Siglinde Lindauer e.Kfr.,,"Mo-Fr 08:00-18:30; Sa 08:00-12:30",+49 381 52746,,detharding-apotheke@t-online.de,https://detharding-apotheke-warnemünde.de/
