FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,shop,toilets:wheelchair,wheelchair,osm_id,osm_type,editlink,tutoriallink,building,official_name,source:addr,source:geometry,collection_times,opening_hours,operator,operator:wikidata,brand,brand:wikidata,brand:wikipedia,operator:wikipedia,source,heritage,image,check_date,building:flats,check_date:opening_hours,branch,ref,phone,contact:website,parcel_locker:type,parcel_mail_in,parcel_pickup,surveillance,website,postal_code,not:operator:wikidata,note,created_by,description,email,atm,post_office:type,alt_name,short_name,level,post_office:brand,post_office:letter,post_office:parcel_from,post_office:service_provider,post_office:stamps,ref:deutsche_post,lottery,tenant,fax,update,type,contact:email,payment:cash,payment:credit_cards,payment:debit_cards,wheelchair:description,opening_hours:covid19,indoor,disused:shop,old_name,old_phone,contact:phone,lastcheck,post_office,toys:model_railway,last_check,payment:coins,payment:maestro,payment:notes,internet_access,payment:girocard,object:city,object:country,object:housenumber,object:street,survey:date,fixme,object:postcode,ref:shop:num,refrigerated,colour,packstation_type,addr:floor,dispensing,app_operated,display_operated,label_printer,name:de,start_date,payment:postcard
OSM_MRN_amenity_post_office_4326_Point.158,POINT (8.4967793 49.3046412),,,,,,,post_office,Titsch Getränkemarkt,beverages,,,2147483647,node,https://www.openstreetmap.org/node/4605385052,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.159,POINT (8.6216687 49.6975327),,,,,,,post_office,UPS/DPD Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/4615192981,https://learnosm.org/de/beginner/,,,,,,,,,DPD,Q541030,de:DPDgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,verify,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.160,POINT (8.6722982 49.3302176),Leimen,DE,102,69181,Theodor-Heuss-Straße,St. Ilgen,post_office,My creative shop,gift,,,2147483647,node,https://www.openstreetmap.org/node/4679935276,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.161,POINT (8.7406151 49.7167759),,,,,,,post_office,CD Sports,clothes,,,2147483647,node,https://www.openstreetmap.org/node/4703133528,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-12:00,14:00-18:00; Sa 09:00-13:00",Deutsche Post,,,,,,,,,,,,,,+49 6254 3098180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gibt's den noch ?,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.162,POINT (9.4216857 49.4283676),,,,,,,post_office,Deutsche Post,,,yes,2147483647,node,https://www.openstreetmap.org/node/4879983638,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 08:30-13:00,14:00-18:30; Sa 08:00-13:00",Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.163,POINT (8.4635894 49.4916191),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/5027663840,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 07:00-18:30; Sa 07:00-14:00,Deutsche Post AG,,DHL,Q489815,en:DHL,,,,,,,,,,,,,,,,,,,parcel only,,,,,post_partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.164,POINT (8.1324106 49.131765),,,,,,,post_office,Deutsche Post,,,,2147483647,node,https://www.openstreetmap.org/node/5150480499,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 07:30-18:30; Sa 08:00-17:00; PH,Su off",Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.165,POINT (9.0399805 49.4190699),Zwingenberg,DE,45,69439,Alte Dorfstraße,,post_office,Postfiliale Shop Gisela,,,,2147483647,node,https://www.openstreetmap.org/node/5203125882,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 06:00-13:00; Sa 06:00-11:00,,,,,,,,,,,,,,,,,,,,,http://www.paketshops.org/deutsche-post-filiale-zwingenberg-alte-dorfstra%C3%9Fe-45/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.166,POINT (8.5436933 49.3181387),Hockenheim,DE,18,68766,Karlsruher Straße,,post_office,Filbert Post,stationery,,,2147483647,node,https://www.openstreetmap.org/node/5261726118,https://learnosm.org/de/beginner/,,,,,,"Mo,Tu,Th,Fr 9:00-18:00; 12:30-14:30 off ""Mittagspause"", We,Sa 9:00-12:30; PH off",,,,,,,,,,,,,,,,,,,,,http://www.filbert-schreibwaren.de/Filbert-Post/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.167,POINT (8.6327958 49.2701378),,,,,,,post_office,DHL Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/5317283925,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-19:00, Sa 09:00-16:00",Spiess Elektro Markt GmbH,,,,,,,,,,,2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.168,POINT (8.5674128 49.6461073),,,,,,,post_office,Die Büromaus,stationery,,,2147483647,node,https://www.openstreetmap.org/node/5340483542,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,+49 6251 54024,,,,,,https://www.diebueromaus.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.169,POINT (8.6802185 49.2887081),,,,,,,parcel_locker,Amazon Locker,,,yes,2147483647,node,https://www.openstreetmap.org/node/5566644611,https://learnosm.org/de/beginner/,,,,,,24/7,Amazon,,Amazon Locker,Q16974764,en:Amazon Locker,,,,,,,,,sevgi,,,,yes,yes,,,69168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.170,POINT (8.7068018 49.2967253),,,,,,,parcel_locker,Amazon Locker - anette,,,,2147483647,node,https://www.openstreetmap.org/node/5566671268,https://learnosm.org/de/beginner/,,,,,,24/7,Amazon,,Amazon Locker,Q16974764,,,,,,2024-07-25,,,,anette,,,,yes,yes,,,69168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.171,POINT (8.3388081 49.2743114),Schwegenheim,DE,14,67365,Speyerer Straße,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/5570860022,https://learnosm.org/de/beginner/,,,,,,"Mo-Sa 09:00-10:00; Su, Ph off",,,DHL,Q489815,,,,,,,,,,,,,,,,,,,,,,Postfiliale im Einzelhandel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.172,POINT (8.3975061 49.5245434),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/5937298300,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,,121,,,,yes,yes,,,,,,,,,,,Packstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67069,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.173,POINT (8.7771474 49.3565213),Bammental,DE,55,69245,Hauptstraße,,post_office,Deutsche Post,,,no,2147483647,node,https://www.openstreetmap.org/node/5938221819,https://learnosm.org/de/beginner/,,,,,,"Mo, Tu, Th, Fr 08:30-12:00,14:30-18:00; Sa, We 08:30-12:30",Landhäusle,,Deutsche Post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.174,POINT (8.2085042 49.5067279),Freinsheim,,2,67251,Bahnhofstraße,,post_office,Post,,,,2147483647,node,https://www.openstreetmap.org/node/5939311512,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.175,POINT (8.7031859 49.3745824),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/6188816978,https://learnosm.org/de/beginner/,,,,,,"Mo-Sa 08:00-13:00, Mo-Fr 15:00-18:00",DHL,,DHL,Q489815,en:DHL Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.176,POINT (9.0086764 49.3890744),,,,,,,post_office,Hermes,,,,2147483647,node,https://www.openstreetmap.org/node/6312826298,https://learnosm.org/de/beginner/,,,,,,,Bürgermarkt Neunkirchen eG,,Hermes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.177,POINT (8.2986852 49.4826345),,,,,,,post_office,Hermes Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/6458121271,https://learnosm.org/de/beginner/,,,,,,,,,Hermes Paketshop,Q1613532,en:Hermes Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.178,POINT (8.2669783 49.4822165),,,,,,,post_office,Postfiliale Becker,,,,2147483647,node,https://www.openstreetmap.org/node/6603191586,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.179,POINT (8.3156205 49.4264358),Dannstadt-Schauernheim,,120,67125,Hauptstraße,,post_office,Postfiliale (im Einzelhandel),,,yes,2147483647,node,https://www.openstreetmap.org/node/6699897636,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-12:30,14:30-18:00; We 09:00-12:30; Sa 09:00-12:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.180,POINT (8.6904732 49.3488298),,,,,,,post_office,Deutsche Post,,,,2147483647,node,https://www.openstreetmap.org/node/6778208191,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-13:00,14:00-18:00; Sa 09:00-12:30",Deutsche Post,Q157645,,,,de:Deutsche Post AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.181,POINT (8.6632455 49.4752124),,,,,,,post_office,Hermes Paketshop,,,no,2147483647,node,https://www.openstreetmap.org/node/6831417146,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-13:00,14:00-18:30; Sa 09:00-13:00",Hermes Logistik Gruppe Deutschland,,Hermes Paketshop,Q1613532,en:Hermes Group,,,,,,,,,,,,,,,,,,,,,,,,post_partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.182,POINT (8.2443826 49.3635621),Haßloch,DE,45,67454,Neustadter Straße,,post_office,Hermes Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/6909398836,https://learnosm.org/de/beginner/,,,,,,,,,Hermes Paketshop,Q1613532,en:Hermes Group,,,,,,,,,,+49 6324 810295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.183,POINT (9.4761311 49.6091062),,,,,,,post_office,DPD,,,,2147483647,node,https://www.openstreetmap.org/node/7047308688,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 09:00-18:00; Sa 09:00-14:00,DPD,,DPD,Q541030,,,,,,,,,,,,,,,,,,,,,,,,,post_partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.184,POINT (9.4750945 49.6076992),,,,,,,post_office,Hermes PaketShop,,,no,2147483647,node,https://www.openstreetmap.org/node/7047308722,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 09:30-15:00; Tu off; Sa 09:30-13:00,Hermes,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.185,POINT (8.1118946 49.1998609),Landau in der Pfalz,DE,35,76829,Marktstraße,,post_office,Deutsche Post,,,yes,2147483647,node,https://www.openstreetmap.org/node/7147242405,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-13:00,14:00-18:00; Sa 08:30-13:30; Su,PH off",Deutsche Post,Q157645,Deutsche Post,Q157645,en:Deutsche Post,de:Deutsche Post AG,,,,,,2024-12-25,,,+49 6341 925327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Telefonnummer überprüfen ob durch Umzug geändert,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.186,POINT (8.493528 49.506963),,,,,,,parcel_locker,Packstation 107,,,,2147483647,node,https://www.openstreetmap.org/node/7160125045,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,2025-01-08,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.187,POINT (8.6782551 49.3795561),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/7259564790,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,2024-05-16,,,,125,,,cabinet,yes,yes,,,69126,,,,,,,,,DHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.188,POINT (8.4554989 49.5473213),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/7265676761,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,en:Packstation,,,,,,,,,105,,,,yes,yes,,,68307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.189,POINT (8.8172467 49.3213648),Meckesheim,DE,13,74909,Prof.-Kehrer-Straße,,post_office,Tintenklecks,stationery,,,2147483647,node,https://www.openstreetmap.org/node/7606875160,https://learnosm.org/de/beginner/,,,,,,"Mo,Tu,Th,Fr 09:00-13:00,15:00-17:30; We,Sa 09:00-13:00",,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.190,POINT (8.1199594 49.199626),Landau in der Pfalz,,13,76829,Industriestraße,,post_office,Mail Boxes Etc.,copyshop,,,2147483647,node,https://www.openstreetmap.org/node/7702816674,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 09:00-18:00,,,Mail Boxes Etc.,Q1139182,en:Mail Boxes Etc.,,,,,,,,,,+49 6341 9355444,,,,,,https://www.mbe.de/de/versand-druck/landau/0075,,,,,,mbe0075@mbe.de,,,,,,,,,,,,,,+49 6341 9355445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MBE0075,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.191,POINT (8.4148826 49.4875938),,,,,,,parcel_locker,DHL Packstation 131,,,yes,2147483647,node,https://www.openstreetmap.org/node/7947928627,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,131,,,,yes,yes,,https://www.dhl.de/de/privatkunden/dhl-standorte-finden.html?locationType=packstationen&address=67063:131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.192,POINT (8.7853603 49.3936415),Neckargemünd,,31,69151,Bahnhofstraße,,post_office,"Postfiliale 508 - Deutsche Post, DHL",,,no,2147483647,node,https://www.openstreetmap.org/node/7969552383,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-13:00,14:30-18:00; Sa 09:00-13:00",Eskura,,Deutsche Post,,,,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.193,POINT (8.4373688 49.3127142),Speyer,DE,18 – 20,67346,Lindenstraße,,post_office,Hermes Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/8019460956,https://learnosm.org/de/beginner/,,,,,,"Mo-Sa 07:00-22:00, Su 07:00-20:00",Hasan Ilhan,,Hermes Paketshop,Q1613532,en:Hermes Group,,,,,,,,,,,,,,,,https://paketshop.myhermes.de/int/hpsf.html?shopid=666317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.194,POINT (8.6638418 49.547756),,,,,,,parcel_locker,DHL Packstation 140,,,,2147483647,node,https://www.openstreetmap.org/node/8252179137,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,2024-09-25,,,,140,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.195,POINT (8.6114187 49.4463556),,,,,,,post_office,Postfiliale Im Elektro Bordne,,,no,2147483647,node,https://www.openstreetmap.org/node/8314264271,https://learnosm.org/de/beginner/,,,,,,"Mo-Sa 08:00-12:30, Mo-Fr 15:00-18:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.196,POINT (8.7855466 49.6538719),,,,,,,parcel_locker,Packstation 165,,,,2147483647,node,https://www.openstreetmap.org/node/8405555245,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,#FFCC00,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.197,POINT (8.6863983 49.3898623),,,,,,,post_office,tegut ....,,,yes,2147483647,node,https://www.openstreetmap.org/node/8435352360,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 10:00-18:00; Sa 10:00-14:00,DHL,,DHL,Q489815,,,,,,,,2024-11-18,,461,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.198,POINT (8.6545537 49.5504002),,,,,,,parcel_locker,DHL Packstation 143,,,yes,2147483647,node,https://www.openstreetmap.org/node/8732279210,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,2024-11-05,,,,143,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weinheim,DE,86,Mannheimer Straße,,,69469,,,,,,,,,,,,
