Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5123791906, 7.324235527;21;Wipptier 2;Wippen;7;Lütgendortmund;730;Lütgendortmund;732;Deipenbeck;101;Lütgendortmund;;
51.4829835698, 7.3655801221;29;Bolzplatz;Ballsportanlagen;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4828264119, 7.365593081;30;Bolzplatztor 1;Bolzplatztore;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4830795881, 7.3655644553;31;Bolzplatztor 2;Bolzplatztore;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.5326644911, 7.5535840313;119;Bolzplatztor 1;Bolzplatztore;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.4924880439, 7.5344425871;123;Sandspiel mit 2x Sandaufzüge;Sandspielgeräte;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;
51.4932780307, 7.5808965496;124;Hangrutsche;Rutschen;4;Aplerbeck;440;Sölde;441;Sölde-Nord;074;Sölde/Sölderholz;;
51.5656973763, 7.5363677196;150;Doppelwippe;Wippen;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.5645362705, 7.3926809735;152;Schwingbogen 2;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5645070486, 7.3926742705;153;Schwingbogen 1;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5646401638, 7.3924748172;155;Kletternetz;Klettergeräte;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5166890775, 7.4905802419;159;Hangrutsche;Rutschen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5166385646, 7.4908845118;162;Tischtennisplatte;Tischtennisplatten;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5017517597, 7.4484502637;168;Breitenrutsche mit Podest;Rutschen;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.5016895502, 7.4476443292;170;Kletterturm mit Rutsche;Klettergeräte;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.501577076, 7.4476222425;171;Kletterwürfel mit Hängebrücke;Klettergeräte;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.50150619, 7.447611697;172;TT-Platte;Tischtennisplatten;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.5016456994, 7.4482255409;173;Wasserspielanlage;Wasserspielanlagen Pumpen Rinnen;10;Innenstadt-West;010;Westfalenhalle;012;Südwestfriedhof;012;Westfalenhalle;;
51.513156576, 7.4976292305;175;Backtisch blau;Motorikspiele;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5135597403, 7.4974884009;176;Schaukel;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5131121796, 7.4975774237;180;"Federwippe ""Elefant""";Wippen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5660607147, 7.3850247008;181;Doppelwippe;Wippen;9;Mengede;920;Mengede;924;Alte Kolonie;123;Nette;123;Nette
51.5311192742, 7.4520800197;185;Sandspielgerät;Sandspielgeräte;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5326410042, 7.3958629925;187;Spielhäuschen;Spielhäuser;8;Huckarde;820;Huckarde;822;Erpinghofsiedlung;111;Deusen/Huckarde;;
51.5231641125, 7.4184695903;189;Drehscheibe;Drehteller (Conlastic Schale u. ä. );8;Huckarde;820;Huckarde;825;Insterburgsiedlung;111;Deusen/Huckarde;;
51.5234123083, 7.4188768734;192;Holzpfostentor 2;Bolzplatztore;8;Huckarde;820;Huckarde;825;Insterburgsiedlung;111;Deusen/Huckarde;;
51.4845829008, 7.3757564882;194;2er Reck;Reckstangen;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.4848113504, 7.3758339992;197;Kletterwürfel;Klettergeräte;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.4847974132, 7.3753457648;198;Bolzplatztor 1;Bolzplatztore;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.4845611979, 7.3752356588;201;Balancierbalken;Balanciergeräte;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.484735548, 7.3754167715;202;Stein Sitzkreis;Sitzgelegenheiten;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.5127230336, 7.5098880457;262;Wackelbrücke;Hängebrücken;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5128617543, 7.509816595;263;Wasserspielanlage mit Düsen;Wasserspielanlagen Pumpen Rinnen;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5106766797, 7.4808644328;264;Doppelfederwippe;Wippen;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.512573617, 7.4545329044;266;Sandspielbereich mit Sitzsteine;Sitzgelegenheiten;10;Innenstadt-West;000;City;003;Cityring-West;011;City;;
51.5162872289, 7.4230300495;267;Spielhaus 1;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;Dorstfeld
51.523119287, 7.4643558549;269;Balancierbalken;Balanciergeräte;20;Innenstadt-Nord;050;Nordmarkt;051;Nordmarkt-Süd;022;Nordmarkt;022;Nordmarkt
51.5203916335, 7.5592880372;273;Felsenhaus mit Rutsche, Netz u. Wackelbrücke;Großspielanlagen;3;Brackel;320;Brackel;327;Hauptfriedhof;062;Brackel;;
51.5191081708, 7.4449416405;275;Rutsche;Rutschen;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5119817963, 7.438727716;276;Fitnessgerät 1;Fitness- / Sportgeräte;10;Innenstadt-West;020;Dorstfelder Brücke;023;Union;013;Dorstfelder Brücke;013;Dorstfelder Brücke
51.5121490177, 7.4388197453;277;Fitnessgerät 3;Fitness- / Sportgeräte;10;Innenstadt-West;020;Dorstfelder Brücke;023;Union;013;Dorstfelder Brücke;013;Dorstfelder Brücke
51.5120840373, 7.4386617432;278;Nestschaukel;Schaukeln / Nestschaukeln;10;Innenstadt-West;020;Dorstfelder Brücke;023;Union;013;Dorstfelder Brücke;013;Dorstfelder Brücke
51.5488057838, 7.5239258977;314;Kletterkombi mit Balanciertau, Rutsche, Seile u. 6x Netze;Klettergeräte;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5473638343, 7.3677139896;318;Streetballständer 1;Ballsportanlagen;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5316538165, 7.454176515;323;"Klettergerät ""Origo""";Klettergeräte;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5317015619, 7.4540493347;324;Kletterkombination;Klettergeräte;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5319392671, 7.4541436826;325;Streetball;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5319115219, 7.4541153644;327;Bolzplatz;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;041;Hafen;021;Hafen;021;Hafen
51.5238017784, 7.4678014717;328;TT Platte;Tischtennisplatten;20;Innenstadt-Nord;050;Nordmarkt;051;Nordmarkt-Süd;022;Nordmarkt;022;Nordmarkt
51.56498015, 7.3687968972;338;"Wippetier ""Elefant""";Wippen;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5524184636, 7.5300264896;346;Tischtennisplatte;Tischtennisplatten;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.4601194447, 7.468890368;350;Boulebahn;Funsportgeräte;6;Hombruch;680;Rombergpark-Lücklemberg;682;Lücklemberg;093;Kirchhörde/Löttringhausen/Lücklemberg;;
51.5749071256, 7.3938685364;351;Kletterwürfel;Klettergeräte;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;
51.5751437307, 7.3938378189;353;TT-Platte;Tischtennisplatten;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;
51.5751139444, 7.3938687034;354;TT Platte 1;Tischtennisplatten;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;
51.5749473592, 7.394346339;355;Doppelwippe;Wippen;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;
51.4989709342, 7.4203541684;381;3er Reck;Reckstangen;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.4990897018, 7.4203149261;385;Doppelschaukel;Schaukeln / Nestschaukeln;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.4990694139, 7.4204346956;386;Viererwippe;Wippen;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5508556965, 7.5434967916;389;Nestschaukel;Schaukeln / Nestschaukeln;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5508045997, 7.5434730481;390;"Federwippe ""Robbe""";Wippen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5508306929, 7.5431131184;391;Wasserspielanlage;Wasserspielanlagen Pumpen Rinnen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5507572938, 7.5429576224;392;Kletterturm mit Rutsche;Rutschen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5506596727, 7.5428551982;394;Bodentrampolin;Sprunggeräte;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.510275295, 7.4959986391;419;Stehwippe;Wippen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5103675194, 7.4959926173;420;Satellitenwiege;Wippen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5102169229, 7.4957188988;423;Spielhaus Arena;Spielhäuser;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.510194131, 7.4959130713;424;Doppelschaukel;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5102829584, 7.4963888625;426;"Balancierbalken ""Schlange""";Balanciergeräte;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.4954164742, 7.5387564871;430;Mini-Nestschaukel U3;Schaukeln / Nestschaukeln;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.4955687718, 7.5388002015;432;Kaufladen, Küche u. U3-Zaun;Sandspielgeräte;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.5132166664, 7.5022624288;443;Spielhaus 2;Spielhäuser;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5132658683, 7.502355952;445;Stelzenhaus;Spielhäuser;30;Innenstadt-Ost;070;Kaiserbrunnen;073;Körne;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.540214205, 7.3717078007;450;Klettergerät mit Rutsche;Klettergeräte;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.519732729, 7.3161073983;456;Sitzkreis Feuerstelle;Sitzgelegenheiten;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5197223539, 7.3158341823;459;Klettergerät mit Rutsche;Klettergeräte;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5196140093, 7.3155396665;463;Wippgerät Elefant;Wippen;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5197807389, 7.31528436;468;Sitzquader mit Holzauflage;Sitzgelegenheiten;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5199708965, 7.314985878;469;Klettergerät U3 Nr. 2;Klettergeräte;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5013357877, 7.5593909339;495;Doppelschaukel 2;Schaukeln / Nestschaukeln;4;Aplerbeck;410;Aplerbeck;412;Marsbruchstraße;071;Aplerbeck;;
51.5014928138, 7.5591083673;496;Hangrutsche;Rutschen;4;Aplerbeck;410;Aplerbeck;412;Marsbruchstraße;071;Aplerbeck;;
51.4986992644, 7.3611097461;2;Sandspielgerät;Sandspielgeräte;7;Lütgendortmund;730;Lütgendortmund;734;Lütgendortmund-Ost;101;Lütgendortmund;;
51.5393794018, 7.5148895228;3;"Federwippe ""Schildkröte"" 2";Wippen;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;Wambeler Heide
51.5394203694, 7.5149866439;4;Schwingbogen/Wippe;Wippen;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;Wambeler Heide
51.5392240514, 7.515143525;8;Ballsportanlage;Ballsportanlagen;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;Wambeler Heide
51.5175390553, 7.3519685824;13;Spielhäuschen;Spielhäuser;7;Lütgendortmund;760;Westrich;760;Westrich;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5177539495, 7.3519377675;15;Wippetier;Wippen;7;Lütgendortmund;760;Westrich;760;Westrich;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5017483693, 7.5387214538;36;Doppelschaukel;Schaukeln / Nestschaukeln;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.4605714995, 7.4687677272;38;Hangrutsche mit Holzpodest;Rutschen;6;Hombruch;680;Rombergpark-Lücklemberg;682;Lücklemberg;093;Kirchhörde/Löttringhausen/Lücklemberg;;
51.5631043074, 7.3745624547;40;Rutsche mit Betonpodest;Rutschen;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5631649509, 7.374452581;42;Drehscheibe;Drehteller (Conlastic Schale u. ä. );9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.4485203707, 7.5241607832;44;Bolzplatztor 2;Bolzplatztore;5;Hörde;540;Holzen;542;Holzen;083;Höchsten/Holzen/Syburg;;
51.5045690185, 7.3712789982;48;Kletterpyramide;Klettergeräte;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.5045107492, 7.3709287829;49;Drehkarussell;Karussels;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.504773262, 7.3710996308;53;Rutschenturm;Rutschen;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.499915444, 7.4024654684;57;Tischtennisplatte;Tischtennisplatten;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.4984097948, 7.4012109479;60;Sandspielgerät;Sandspielgeräte;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.5090814825, 7.5269054399;62;Spielhaus;Spielhäuser;3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.5092879575, 7.5269330842;63;Tischtennisplatte;Tischtennisplatten;3;Brackel;330;Wambel;333;Pferderennbahn;063;Wambel;;
51.5081550311, 7.4162489021;64;Bolzplatztor 1;Bolzplatztore;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5078313405, 7.4163647257;65;Bolzplatztor 2;Bolzplatztore;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.507639509, 7.4164755318;68;Streetballfeld;Ballsportanlagen;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5171636139, 7.3264521482;71;Gurtsteg;Gurtsteg / Mattenschwinger;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5168810223, 7.3263819271;72;Drehscheibe;Drehteller (Conlastic Schale u. ä. );7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5019283252, 7.52774821;76;Balancierbalken;Balanciergeräte;4;Aplerbeck;430;Schüren;431;Schüren-Neu;073;Schüren;;
51.503022137, 7.3286062806;78;Nestschaukel;Schaukeln / Nestschaukeln;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5029971193, 7.3284911151;79;Unterstand/Treffpunkt;Sitzgelegenheiten;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.502925795, 7.3285648935;80;Spielhaus;Spielhäuser;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.502939436, 7.3283640922;82;Hangrampe;Klettergeräte;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.4989150221, 7.4056454674;86;Spielhaus;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.4990117667, 7.4059583864;87;Holzwippe;Wippen;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.5198625858, 7.3629574201;92;Basketballkorb;Ballsportanlagen;8;Huckarde;840;Kirchlinde;843;Hangeney;112;Rahm/Kirchlinde;;
51.5036942415, 7.3398061638;93;Rutsche mit Holzpodest;Rutschen;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5040649532, 7.3184964721;94;Rutsche;Rutschen;7;Lütgendortmund;730;Lütgendortmund;732;Deipenbeck;101;Lütgendortmund;;
51.488030159, 7.360574473;96;Kletter-Rutschturm varioset melle;Klettergeräte;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.488016695, 7.360425372;98;Spielhäuser;Spielhäuser;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.5519945495, 7.3706368935;107;Kletter-Rutschturm;Klettergeräte;9;Mengede;910;Bodelschwingh;910;Bodelschwingh;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5055689305, 7.319012831;108;Sandbaustelle;Sandspielgeräte;7;Lütgendortmund;730;Lütgendortmund;732;Deipenbeck;101;Lütgendortmund;;
51.5440086136, 7.4797567489;115;Betonpalisaden 2;Balanciergeräte;1;Eving;120;Eving;123;Obereving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5206154773, 7.5470691654;118;Spielhaus mit Holzsteg;Spielhäuser;3;Brackel;320;Brackel;326;Knappschaftskrankenhaus;062;Brackel;;
51.4718381754, 7.4380861655;133;Bolzplatz (klein);Ballsportanlagen;6;Hombruch;650;Hombruch;652;Deutsch-Luxemburger-Straße;091;Barop/Brünninghausen/Hombruch;;
51.578613185, 7.5628902411;144;Tor 1/ Holzpfosten;Bolzplatztore;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.5657224161, 7.5366389399;146;Basketballkorb;Ballsportanlagen;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.5655898396, 7.5363496502;148;Sandtisch;Sandspielgeräte;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.5654259602, 7.536223624;149;Vierer-Wippe;Wippen;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.4959968892, 7.3463188185;203;Backtisch;Motorikspiele;7;Lütgendortmund;730;Lütgendortmund;734;Lütgendortmund-Ost;101;Lütgendortmund;;
51.5587261169, 7.5955207575;205;"Drehspiel ""Wirbel"" klein";Drehteller (Conlastic Schale u. ä. );2;Scharnhorst;240;Kurl-Husen;244;Husen-Süd;052;Husen/Kurl/Lanstrop;;
51.5010572581, 7.4091650612;209;TT Platte;Tischtennisplatten;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.5525637111, 7.4529843996;211;Betonpalisaden;Balanciergeräte;1;Eving;140;Lindenhorst;140;Lindenhorst;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II
51.5527548293, 7.4528974025;212;Balancierstamm;Balanciergeräte;1;Eving;140;Lindenhorst;140;Lindenhorst;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II
51.5219423428, 7.4448230892;214;Bolzplatztor 1;Bolzplatztore;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5222900731, 7.4448095209;217;naturnahes Loch mit Steinen;Naturnahe Elemente /(Kriechtunnel Weidenhäuschen);20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5283584851, 7.3785031599;218;Streetballkorb;Ballsportanlagen;8;Huckarde;830;Jungferntal-Rahm;831;Jungferntal;112;Rahm/Kirchlinde;;
51.5127801735, 7.4949982858;219;Hangrutsche;Rutschen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5108548508, 7.3848910455;222;Backtisch;Motorikspiele;7;Lütgendortmund;740;Marten;742;Marten;102;Marten;102;Marten
51.5148234907, 7.4913205198;230;Rutsche u. Rampe;Rutschen;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5147122573, 7.4913383452;231;Nestschaukel;Schaukeln / Nestschaukeln;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.5148906672, 7.4912236727;232;Sandspiel mit Sandaufzug;Sandspielgeräte;30;Innenstadt-Ost;070;Kaiserbrunnen;072;Funkenburg;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.4885895994, 7.3784509212;236;Funbox;Skateelemente;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.4996977532, 7.3293015686;242;Wippen;Wippen;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.4995873885, 7.415622353;244;Kletterturm mit Rutsche;Klettergeräte;10;Innenstadt-West;030;Dorstfeld;033;Oberdorstfeld;014;Dorstfeld;014;Dorstfeld
51.5121340396, 7.4387809569;279;Erlebniswand;Motorikspiele;10;Innenstadt-West;020;Dorstfelder Brücke;023;Union;013;Dorstfelder Brücke;013;Dorstfelder Brücke
51.5255970008, 7.4843823465;280;Bolzplatz;Ballsportanlagen;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5782296507, 7.3822905079;283;Kleinkindschaukel;Schaukeln / Nestschaukeln;9;Mengede;920;Mengede;922;Mengeder Heide;122;Mengede/Oestrich/Schwieringhausen;;
51.5778730171, 7.3817429076;285;Bolzplatztor 2;Bolzplatztore;9;Mengede;920;Mengede;922;Mengeder Heide;122;Mengede/Oestrich/Schwieringhausen;;
51.5169938385, 7.4257538116;287;Doppelschaukel;Schaukeln / Nestschaukeln;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;Dorstfeld
51.5170067075, 7.4258766825;288;Natursteinquader;Sitzgelegenheiten;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;Dorstfeld
51.516969135, 7.4259036694;289;Rutsche mit Podest;Rutschen;10;Innenstadt-West;030;Dorstfeld;031;Hallerey;014;Dorstfeld;014;Dorstfeld
51.5499727068, 7.5380947827;295;Dreisitzschaukel;Sitzgelegenheiten;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5503620873, 7.5378935895;296;Street-Basketball-Anlage;Ballsportanlagen;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5063415728, 7.3330844274;298;Doppelwippe;Wippen;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5064600469, 7.3332668062;302;Sandspielwerk;Sandspielgeräte;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5064974031, 7.3333693908;303;Matschtisch;Motorikspiele;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5713734447, 7.5223840584;309;Hangrutsche;Rutschen;2;Scharnhorst;210;Derne;212;Derne;051;Derne/Hostedde/Kirchderne/Grevel;;
51.5486311408, 7.5241074938;313;Doppelfederwippe;Wippen;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5648545191, 7.3689621634;340;Schaukeln / Nestschaukeln;Schaukeln / Nestschaukeln;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5525301675, 7.5307354385;342;Ballsportanlage Rasen;Ballsportanlagen;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5748351195, 7.3942104447;356;Sandspielhaus;Spielhäuser;9;Mengede;950;Schwieringhausen;953;Ellinghausen;122;Mengede/Oestrich/Schwieringhausen;;
