GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
05766048;Leopoldshöhe;30;0;1;4;25
05766052;Lügde, Stadt;9;0;1;3;5
05766056;Oerlinghausen, Stadt;9;0;0;1;8
05766060;Schieder-Schwalenberg, Stadt;4;0;0;0;4
05766064;Schlangen;21;0;0;3;18
05770004;Bad Oeynhausen, Stadt;62;0;4;5;53
05770008;Espelkamp, Stadt;38;6;3;12;17
05770012;Hille;18;0;0;1;17
05770016;Hüllhorst;9;0;0;1;8
05770020;Lübbecke, Stadt;66;4;17;28;17
05770024;Minden, Stadt;238;42;64;36;96
05770028;Petershagen, Stadt;22;0;1;3;18
05770032;Porta Westfalica, Stadt;78;4;18;11;45
05770036;Preußisch Oldendorf, Stadt;17;0;2;1;14
05770040;Rahden, Stadt;29;1;0;7;21
05770044;Stemwede;23;-1;2;2;20
05774004;Altenbeken;16;0;3;-1;14
05774008;Bad Lippspringe, Stadt;42;10;2;6;24
05774012;Borchen;16;1;2;3;10
05774016;Büren, Stadt;24;1;0;0;23
05774020;Delbrück, Stadt;80;-1;22;9;50
05774024;Hövelhof;53;0;27;5;21
05774028;Lichtenau, Stadt;24;0;2;3;19
05774032;Paderborn, Stadt;620;295;50;63;212
05774036;Salzkotten, Stadt;69;3;6;11;49
05774040;Bad Wünnenberg, Stadt;30;3;-1;5;23
05911000;Bochum, kreisfreie Stadt;494;13;92;73;316
05913000;Dortmund, kreisfreie Stadt;499;85;87;77;250
05914000;Hagen, kreisfreie Stadt;304;125;37;18;124
05915000;Hamm, kreisfreie Stadt;367;15;80;53;219
05916000;Herne, kreisfreie Stadt;75;5;10;3;57
05954004;Breckerfeld, Stadt;36;1;1;1;33
05954008;Ennepetal, Stadt;64;0;20;12;32
05954012;Gevelsberg, Stadt;38;1;0;9;28
05954016;Hattingen, Stadt;147;0;9;39;99
05954020;Herdecke, Stadt;49;18;1;12;18
05954024;Schwelm, Stadt;10;0;3;-1;8
05954028;Sprockhövel, Stadt;59;2;5;8;44
05954032;Wetter (Ruhr), Stadt;65;1;5;12;47
05954036;Witten, Stadt;119;2;14;35;68
05958004;Arnsberg, Stadt;76;1;7;7;61
05958008;Bestwig;10;1;0;2;7
05958012;Brilon, Stadt;30;0;2;2;26
05958016;Eslohe (Sauerland);18;1;4;0;13
05958020;Hallenberg, Stadt;6;0;1;2;3
05958024;Marsberg, Stadt;17;0;2;-3;18
05958028;Medebach, Stadt;7;0;0;3;4
05958032;Meschede, Stadt;15;-1;1;2;13
05958036;Olsberg, Stadt;34;12;5;0;17
05958040;Schmallenberg, Stadt;39;3;2;7;27
05958044;Sundern (Sauerland), Stadt;65;2;2;13;48
05958048;Winterberg, Stadt;24;1;1;4;18
05962004;Altena, Stadt;5;1;2;-1;3
05962008;Balve, Stadt;5;0;0;1;4
05962012;Halver, Stadt;2;0;0;0;2
05962016;Hemer, Stadt;49;1;11;19;18
05962020;Herscheid;10;0;0;2;8
05962024;Iserlohn, Stadt;78;10;4;19;45
05962028;Kierspe, Stadt;7;0;0;2;5
05962032;Lüdenscheid, Stadt;49;10;-7;15;31
05962036;Meinerzhagen, Stadt;16;2;0;2;12
05962040;Menden (Sauerland), Stadt;97;5;9;12;71
05962044;Nachrodt-Wiblingwerde;36;0;0;16;20
05962048;Neuenrade, Stadt;21;0;1;4;16
05962052;Plettenberg, Stadt;16;1;0;-1;16
05962056;Schalksmühle;8;0;-1;0;9
05962060;Werdohl, Stadt;7;0;-6;1;12
05966004;Attendorn, Stadt;90;1;13;20;56
05966008;Drolshagen, Stadt;37;1;8;5;23
05966012;Finnentrop;19;0;1;0;18
05966016;Kirchhundem;18;0;2;2;14
05966020;Lennestadt, Stadt;36;0;7;6;23
05966024;Olpe, Stadt;57;0;16;15;26
05966028;Wenden;61;3;5;8;45
05970004;Bad Berleburg, Stadt;26;0;2;6;18
05970008;Burbach;13;0;1;1;11
05970012;Erndtebrück;7;0;2;0;5
05970016;Freudenberg, Stadt;34;3;3;1;27
05970020;Hilchenbach, Stadt;15;3;0;1;11
05970024;Kreuztal, Stadt;92;25;33;3;31
05970028;Bad Laasphe, Stadt;16;0;1;3;12
05970032;Netphen, Stadt;46;3;2;6;35
05970036;Neunkirchen;7;0;0;1;6
05970040;Siegen, Stadt;141;11;48;22;60
05970044;Wilnsdorf;45;1;3;3;38
05974004;Anröchte;21;0;2;7;12
05974008;Bad Sassendorf;70;28;2;9;31
05974012;Ense;22;0;2;4;16
05974016;Erwitte, Stadt;36;0;13;4;19
05974020;Geseke, Stadt;42;3;8;5;26
05974024;Lippetal;30;2;5;7;16
05974028;Lippstadt, Stadt;176;9;29;28;110
05974032;Möhnesee;20;4;0;8;8
05974036;Rüthen, Stadt;15;0;2;2;11
05974040;Soest, Stadt;122;14;19;20;69
05974044;Warstein, Stadt;24;4;3;-9;26
05974048;Welver;20;2;3;-1;16
05974052;Werl, Stadt;50;1;4;8;37
05974056;Wickede (Ruhr);5;-11;2;2;12
05978004;Bergkamen, Stadt;79;6;7;12;54
05978008;Bönen;46;0;6;12;28
05978012;Fröndenberg/Ruhr, Stadt;74;0;31;10;33
05978016;Holzwickede;24;2;1;2;19
05978020;Kamen, Stadt;46;9;1;9;27
05978024;Lünen, Stadt;193;1;57;22;113
05978028;Schwerte, Stadt;75;9;8;-4;62
05978032;Selm, Stadt;80;16;16;10;38
05978036;Unna, Stadt;189;12;100;22;55
05978040;Werne, Stadt;113;11;55;29;18
06411000;Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;712;86;314;174;138
06412000;Frankfurt am Main, kreisfreie Stadt;2256;175;487;619;975
06413000;Offenbach am Main, kreisfreie Stadt;176;32;20;42;82
06414000;Wiesbaden, kreisfreie Stadt, Landeshauptstadt;563;32;79;103;349
06431001;Abtsteinach;4;0;0;0;4
06431002;Bensheim, Stadt;87;7;2;22;56
06431003;Biblis;5;1;-1;0;5
06431004;Birkenau;14;3;0;-2;13
06431005;Bürstadt, Stadt;8;1;-3;4;6
06431006;Einhausen;9;-1;-1;2;9
06431007;Fürth;15;-1;1;2;13
06431008;Gorxheimertal;2;0;0;1;1
06431009;Grasellenbach;4;0;1;-2;5
06431010;Groß-Rohrheim;11;0;0;1;10
06431011;Heppenheim (Bergstraße), Kreisstadt;30;1;1;0;28
06431012;Hirschhorn (Neckar), Stadt;1;0;0;0;1
06431013;Lampertheim, Stadt;45;1;20;6;18
06431014;Lautertal (Odenwald);11;5;1;0;5
06431015;Lindenfels, Stadt;3;2;1;0;0
06431016;Lorsch, Karolingerstadt;33;4;1;9;19
06431017;Mörlenbach;11;2;1;0;8
06431018;Neckarsteinach, Stadt;2;1;0;-1;2
06431019;Rimbach;24;0;4;5;15
06431020;Viernheim, Stadt;59;13;14;8;24
06431021;Wald-Michelbach;15;0;1;2;12
06431022;Zwingenberg, Stadt;20;1;-1;7;13
06431200;Michelbuch, gemfr. Geb.;-;0;0;0;0
06432001;Alsbach-Hähnlein;14;0;0;-1;15
06432002;Babenhausen, Stadt;35;5;-3;5;28
06432003;Bickenbach;16;0;4;0;12
06432004;Dieburg, Stadt;14;2;-1;0;13
06432005;Eppertshausen;3;0;-1;0;4
06432006;Erzhausen;17;2;1;-2;16
06432007;Fischbachtal;3;0;0;1;2
06432008;Griesheim, Stadt;35;4;-1;5;27
06432009;Groß-Bieberau, Stadt;3;0;0;1;2
06432010;Groß-Umstadt, Stadt;18;1;-3;0;20
06432011;Groß-Zimmern;19;2;5;-1;13
06432012;Messel;34;1;25;4;4
06432013;Modautal;13;2;2;2;7
06432014;Mühltal;41;1;4;-2;38
06432015;Münster (Hessen);35;1;-1;6;29
06432016;Ober-Ramstadt, Stadt;31;1;2;1;27
06432017;Otzberg;10;3;2;1;4
06432018;Pfungstadt, Stadt;37;-1;0;5;33
06432019;Reinheim, Stadt;10;1;1;2;6
06432020;Roßdorf;13;0;5;1;7
06432021;Schaafheim;19;1;1;2;15
06432022;Seeheim-Jugenheim;49;2;5;6;36
06432023;Weiterstadt, Stadt;41;1;6;6;28
06433001;Biebesheim am Rhein;13;1;-1;3;10
06433002;Bischofsheim;20;3;0;10;7
06433003;Büttelborn;95;4;8;2;81
06433004;Gernsheim, Schöfferstadt;30;2;0;2;26
06433005;Ginsheim-Gustavsburg, Stadt;13;-1;1;-1;14
06433006;Groß-Gerau, Stadt;51;-4;12;20;23
06433007;Kelsterbach, Stadt;56;4;7;16;29
06433008;Mörfelden-Walldorf, Stadt;67;6;10;26;25
06433009;Nauheim;5;1;-3;2;5
06433010;Raunheim, Stadt;15;-1;0;12;4
06433011;Riedstadt, Büchnerstadt;26;0;-2;0;28
06433012;Rüsselsheim am Main, Stadt;92;19;11;3;59
06433013;Stockstadt am Rhein;16;-1;2;6;9
06433014;Trebur;50;1;6;9;34
06434001;Bad Homburg v.d.Höhe, Stadt;117;6;8;40;63
06434002;Friedrichsdorf, Stadt;66;2;5;19;40
06434003;Glashütten;10;0;1;1;8
06434004;Grävenwiesbach;6;0;1;1;4
06434005;Königstein im Taunus, Stadt;45;4;4;-1;38
06434006;Kronberg im Taunus, Stadt;43;1;-5;2;45
06434007;Neu-Anspach, Stadt;7;0;-2;1;8
06434008;Oberursel (Taunus), Stadt;127;1;23;31;72
06434009;Schmitten im Taunus;20;1;0;1;18
06434010;Steinbach (Taunus), Stadt;54;0;1;6;47
06434011;Usingen, Stadt;43;0;-2;2;43
06434012;Wehrheim;9;0;2;0;7
06434013;Weilrod;3;-1;1;-1;4
06435001;Bad Orb, Stadt;16;1;2;3;10
06435002;Bad Soden-Salmünster, Stadt;27;7;1;2;17
06435003;Biebergemünd;14;0;1;-2;15
06435004;Birstein;10;6;0;0;4
06435005;Brachttal;8;1;0;0;7
06435006;Bruchköbel, Stadt;19;-1;1;0;19
06435007;Erlensee, Stadt;103;3;40;23;37
06435008;Flörsbachtal;5;0;1;2;2
06435009;Freigericht;31;3;6;0;22
06435010;Gelnhausen, Barbarossastadt, Kreisstadt;39;3;3;11;22
06435011;Großkrotzenburg;20;0;2;1;17
06435012;Gründau;34;3;5;0;26
06435013;Hammersbach;12;1;3;3;5
06435014;Hanau, Brüder-Grimm-Stadt;291;44;78;57;112
06435015;Hasselroth;4;0;0;1;3
06435016;Jossgrund;5;-1;0;-1;7
06435017;Langenselbold, Stadt;55;5;11;4;35
06435018;Linsengericht;25;-1;3;1;22
06435019;Maintal, Stadt;34;-23;8;9;40
06435020;Neuberg;9;0;1;0;8
06435021;Nidderau, Stadt;30;3;3;4;20
06435022;Niederdorfelden;6;0;1;1;4
06435023;Rodenbach;7;0;1;0;6
06435024;Ronneburg;14;2;1;3;8
06435025;Schlüchtern, Stadt;31;1;9;1;20
06435026;Schöneck;37;7;3;3;24
06435027;Sinntal;11;1;2;2;6
06435028;Steinau an der Straße, Brüder-Grimm-Stadt;8;0;-2;-1;11
06435029;Wächtersbach, Stadt;26;3;-2;5;20
06435200;Gutsbezirk Spessart, gemfr. Geb.;-;0;0;0;0
06436001;Bad Soden am Taunus, Stadt;66;3;6;10;47
06436002;Eppstein, Stadt;18;2;0;1;15
06436003;Eschborn, Stadt;28;0;3;0;25
06436004;Flörsheim am Main, Stadt;40;2;4;7;27
06436005;Hattersheim am Main, Stadt;64;2;-8;22;48
06436006;Hochheim am Main, Stadt;50;-4;7;22;25
06436007;Hofheim am Taunus, Kreisstadt;93;5;8;15;65
06436008;Kelkheim (Taunus), Stadt;81;-2;5;19;59
06436009;Kriftel;68;1;2;13;52
06436010;Liederbach am Taunus;1;0;0;0;1
06436011;Schwalbach am Taunus, Stadt;31;-1;1;9;22
06436012;Sulzbach (Taunus);15;2;3;1;9
06437001;Bad König, Stadt;17;0;4;-1;14
06437002;Beerfelden, Stadt;6;1;-1;1;5
06437003;Brensbach;6;0;1;0;5
06437004;Breuberg, Stadt;16;0;-1;7;10
06437005;Brombachtal;1;0;0;1;0
06437006;Erbach, Kreisstadt;73;60;-1;3;11
06437007;Fränkisch-Crumbach;1;0;0;0;1
06437008;Hesseneck;4;0;1;0;3
06437009;Höchst i. Odw.;20;10;3;0;7
06437010;Lützelbach;7;0;-2;0;9
06437011;Michelstadt, Stadt;7;0;-2;-1;10
06437012;Mossautal;5;0;1;1;3
06437013;Reichelsheim (Odenwald);13;1;5;1;6
06437014;Rothenberg;1;0;0;0;1
06437015;Sensbachtal;-;0;0;0;0
06437016;Oberzent, Stadt;-;-;-;-;-
06438001;Dietzenbach, Kreisstadt;-;-2;0;-1;3
06438002;Dreieich, Stadt;118;3;34;12;69
06438003;Egelsbach;14;2;0;-2;14
06438004;Hainburg;9;0;2;2;5
06438005;Heusenstamm, Stadt;13;0;2;1;10
06438006;Langen (Hessen), Stadt;65;8;14;1;42
06438007;Mainhausen;14;-1;5;3;7
06438008;Mühlheim am Main, Stadt;25;0;-1;8;18
06438009;Neu-Isenburg, Stadt;22;2;-2;10;12
06438010;Obertshausen, Stadt;18;2;0;2;14
06438011;Rodgau, Stadt;63;11;13;15;24
06438012;Rödermark, Stadt;39;1;2;1;35
06438013;Seligenstadt, Einhardstadt;74;6;16;13;39
06439001;Aarbergen;6;0;0;-1;7
06439002;Bad Schwalbach, Kreisstadt;14;1;0;0;13
06439003;Eltville am Rhein, Stadt;75;4;10;7;54
06439004;Geisenheim, Hochschulstadt;28;5;9;3;11
06439005;Heidenrod;13;4;1;-1;9
06439006;Hohenstein;5;0;-2;-2;9
06439007;Hünstetten;28;0;4;0;24
06439008;Idstein, Hochschulstadt;66;3;3;14;46
06439009;Kiedrich;4;1;0;0;3
06439010;Lorch, Stadt;1;1;-1;0;1
06439011;Niedernhausen;14;1;0;0;13
06439012;Oestrich-Winkel, Stadt;12;2;1;0;9
06439013;Rüdesheim am Rhein, Stadt;-10;-23;3;2;8
06439014;Schlangenbad;14;-1;-1;3;13
06439015;Taunusstein, Stadt;63;2;3;4;54
06439016;Waldems;1;0;0;0;1
06439017;Walluf;-;0;0;-1;1
06440001;Altenstadt;5;0;-2;0;7
06440002;Bad Nauheim, Stadt;40;1;3;8;28
06440003;Bad Vilbel, Stadt;76;6;10;17;43
06440004;Büdingen, Stadt;7;0;2;0;5
06440005;Butzbach, Friedrich-Ludwig-Weidig-Stadt;64;3;7;14;40
06440006;Echzell;2;0;0;0;2
06440007;Florstadt, Stadt;13;2;3;-1;9
06440008;Friedberg (Hessen), Kreisstadt;71;6;5;9;51
06440009;Gedern, Stadt;5;0;0;1;4
06440010;Glauburg;-;0;0;0;0
06440011;Hirzenhain;-;0;0;0;0
06440012;Karben, Stadt;79;8;22;15;34
06440013;Kefenrod;3;0;0;1;2
06440014;Limeshain;2;0;0;0;2
06440015;Münzenberg, Stadt;20;0;8;2;10
06440016;Nidda, Stadt;14;0;0;2;12
06440017;Niddatal, Stadt;25;0;-2;1;26
06440018;Ober-Mörlen;1;1;-1;0;1
06440019;Ortenberg, Stadt;7;-1;0;3;5
06440020;Ranstadt;3;0;0;2;1
06440021;Reichelsheim (Wetterau), Stadt;19;3;3;2;11
06440022;Rockenberg;14;1;0;0;13
06440023;Rosbach v. d. Höhe, Stadt;34;-2;1;0;35
06440024;Wölfersheim;30;0;2;4;24
06440025;Wöllstadt;10;0;5;-1;6
06531001;Allendorf (Lumda), Stadt;9;1;0;2;6
06531002;Biebertal;12;2;0;-3;13
06531003;Buseck;12;0;4;2;6
06531004;Fernwald;21;4;0;1;16
06531005;Gießen, Universitätsstadt;411;156;61;55;139
06531006;Grünberg, Stadt;18;1;1;2;14
06531007;Heuchelheim a. d. Lahn;5;-2;1;-1;7
06531008;Hungen, Stadt;23;3;-4;1;23
06531009;Langgöns;6;-1;1;-1;7
06531010;Laubach, Stadt;4;0;-1;1;4
06531011;Lich, Stadt;25;1;0;6;18
06531012;Linden, Stadt;17;0;4;1;12
06531013;Lollar, Stadt;8;0;0;-2;10
06531014;Pohlheim, Stadt;75;1;52;3;19
06531015;Rabenau;1;0;1;0;0
06531016;Reiskirchen;20;1;2;1;16
06531017;Staufenberg, Stadt;19;2;0;1;16
06531018;Wettenberg;41;11;8;5;17
06532001;Aßlar, Stadt;14;2;1;3;8
06532002;Bischoffen;12;0;0;2;10
06532003;Braunfels, Stadt;35;5;7;8;15
06532004;Breitscheid;14;3;0;3;8
06532005;Dietzhölztal;7;-1;0;3;5
06532006;Dillenburg, Oranienstadt;19;1;-1;4;15
06532007;Driedorf;15;2;1;7;5
06532008;Ehringshausen;7;-3;1;2;7
06532009;Eschenburg;12;3;0;0;9
06532010;Greifenstein;17;3;2;1;11
06532011;Haiger, Stadt;18;2;0;1;15
06532012;Herborn, Stadt;26;4;0;3;19
06532013;Hohenahr;3;0;0;0;3
06532014;Hüttenberg;18;0;2;0;16
06532015;Lahnau;23;2;3;3;15
06532016;Leun, Stadt;10;0;-1;6;5
06532017;Mittenaar;7;1;0;0;6
06532018;Schöffengrund;4;0;0;0;4
06532019;Siegbach;1;0;0;0;1
06532020;Sinn;11;2;0;1;8
06532021;Solms, Stadt;29;3;3;5;18
06532022;Waldsolms;14;1;1;-2;14
06532023;Wetzlar, Stadt;62;1;5;8;48
06533001;Beselich;9;-1;0;1;9
06533002;Brechen;14;0;2;3;9
06533003;Bad Camberg, Stadt;18;3;4;4;7
06533004;Dornburg;22;1;4;1;16
06533005;Elbtal;14;4;1;1;8
06533006;Elz;13;3;2;-1;9
06533007;Hadamar, Stadt;13;-10;-1;7;17
06533008;Hünfelden;13;3;1;2;7
06533009;Limburg a. d. Lahn, Kreisstadt;90;19;7;0;64
06533010;Löhnberg;3;0;-2;4;1
06533011;Mengerskirchen, Marktflecken;9;1;1;0;7
06533012;Merenberg, Marktflecken;2;0;0;0;2
06533013;Runkel, Stadt;23;1;-2;5;19
06533014;Selters (Taunus);9;-1;0;-1;11
06533015;Villmar, Marktflecken;16;1;-1;1;15
06533016;Waldbrunn (Westerwald);11;0;0;1;10
06533017;Weilburg, Stadt;11;2;-3;4;8
06533018;Weilmünster, Marktflecken;14;1;-1;1;13
06533019;Weinbach;2;0;0;0;2
06534001;Amöneburg, Stadt;11;0;1;0;10
06534002;Angelburg;2;0;0;0;2
06534003;Bad Endbach;16;3;1;4;8
06534004;Biedenkopf, Stadt;11;1;0;1;9
06534005;Breidenbach;3;0;-1;0;4
06534006;Cölbe;6;1;1;0;4
06534007;Dautphetal;11;1;0;-3;13
06534008;Ebsdorfergrund;21;0;2;0;19
06534009;Fronhausen;6;0;2;0;4
06534010;Gladenbach, Stadt;21;1;3;2;15
06534011;Kirchhain, Stadt;12;1;0;2;9
06534012;Lahntal;8;0;0;1;7
06534013;Lohra;5;0;2;2;1
06534014;Marburg, Universitätsstadt;104;6;18;31;49
06534015;Münchhausen;2;0;0;0;2
06534016;Neustadt (Hessen), Stadt;11;1;0;2;8
06534017;Rauschenberg, Stadt;8;0;1;0;7
06534018;Stadtallendorf, Stadt;90;30;33;1;26
06534019;Steffenberg;7;0;-2;-3;12
06534020;Weimar (Lahn);17;2;3;2;10
06534021;Wetter (Hessen), Stadt;20;2;4;-1;15
06534022;Wohratal;-;0;0;0;0
06535001;Alsfeld, Stadt;7;0;0;3;4
06535002;Antrifttal;1;0;0;0;1
06535003;Feldatal;3;-1;0;0;4
06535004;Freiensteinau;4;0;0;0;4
06535005;Gemünden (Felda);2;0;0;1;1
06535006;Grebenau, Stadt;3;0;0;0;3
06535007;Grebenhain;3;0;0;1;2
06535008;Herbstein, Stadt;5;0;0;0;5
06535009;Homberg (Ohm), Stadt;6;-1;1;-2;8
06535010;Kirtorf, Stadt;-;0;0;0;0
06535011;Lauterbach (Hessen), Kreisstadt;5;0;-1;-1;7
06535012;Lautertal (Vogelsberg);-;0;0;0;0
06535013;Mücke;8;0;1;1;6
06535014;Romrod, Stadt;2;0;-1;1;2
06535015;Schlitz, Stadt;13;1;1;-1;12
06535016;Schotten, Stadt;6;0;1;2;3
06535017;Schwalmtal;-;0;0;0;0
06535018;Ulrichstein, Stadt;-;0;0;-1;1
06535019;Wartenberg;10;0;3;1;6
06611000;Kassel, kreisfreie Stadt, documenta-Stadt;232;24;52;61;95
06631001;Bad Salzschlirf;2;0;-1;0;3
06631002;Burghaun, Marktgemeinde;7;0;1;0;6
06631003;Dipperz;3;0;0;1;2
06631004;Ebersburg;13;0;0;1;12
06631005;Ehrenberg (Rhön);4;1;0;-1;4
06631006;Eichenzell;18;1;0;0;17
06631007;Eiterfeld, Marktgemeinde;13;0;1;0;12
06631008;Flieden;13;2;-2;2;11
06631009;Fulda, Stadt;246;144;34;16;52
06631010;Gersfeld (Rhön), Stadt;6;1;1;0;4
06631011;Großenlüder;13;-2;7;-1;9
06631012;Hilders, Marktgemeinde;4;0;0;0;4
06631013;Hofbieber;13;2;1;-4;14
06631014;Hosenfeld;1;-2;0;-2;5
06631015;Hünfeld, Konrad-Zuse-Stadt;41;3;14;4;20
06631016;Kalbach;6;1;1;-3;7
06631017;Künzell;51;2;9;-2;42
06631018;Neuhof;8;1;1;-1;7
06631019;Nüsttal;10;4;0;0;6
06631020;Petersberg;43;0;2;7;34
06631021;Poppenhausen (Wasserkuppe);4;0;0;2;2
06631022;Rasdorf, Point-Alpha-Gemeinde;3;1;0;0;2
06631023;Tann (Rhön), Stadt;5;0;0;0;5
06632001;Alheim;5;0;0;-1;6
06632002;Bad Hersfeld, Kreisstadt;-;0;0;0;0
06632003;Bebra, Stadt;10;1;3;-1;7
06632004;Breitenbach a. Herzberg;2;0;0;0;2
06632005;Cornberg;-;0;0;0;0
06632006;Friedewald;12;4;4;0;4
06632007;Hauneck;4;0;0;0;4
06632008;Haunetal;8;0;0;4;4
06632009;Heringen (Werra), Stadt;2;0;-1;0;3
06632010;Hohenroda;3;0;0;2;1
06632011;Kirchheim;-;0;1;-1;0
06632012;Ludwigsau;-;0;0;0;0
06632013;Nentershausen;-;0;-1;-1;2
06632014;Neuenstein;3;1;1;1;0
06632015;Niederaula, Marktgemeinde;7;0;0;0;7
06632016;Philippsthal (Werra), Marktgemeinde;1;0;0;0;1
06632017;Ronshausen;-;0;0;0;0
06632018;Rotenburg a. d. Fulda, Stadt;11;1;4;0;6
06632019;Schenklengsfeld;3;0;-1;0;4
06632020;Wildeck;4;0;0;-1;5
06633001;Ahnatal;9;1;0;1;7
06633002;Bad Karlshafen, Stadt;-;0;0;0;0
06633003;Baunatal, Stadt;39;3;3;7;26
06633004;Breuna;1;0;0;0;1
06633005;Calden;7;0;0;0;7
06633006;Bad Emstal;3;0;0;0;3
06633007;Espenau;2;0;0;1;1
06633008;Fuldabrück;9;0;0;0;9
06633009;Fuldatal;11;0;1;0;10
06633010;Grebenstein, Stadt;39;25;9;2;3
06633011;Habichtswald;9;0;0;1;8
06633012;Helsa;8;0;3;4;1
06633013;Hofgeismar, Stadt;43;0;12;21;10
06633014;Immenhausen, Stadt;5;0;0;1;4
06633015;Kaufungen;23;2;10;1;10
06633016;Liebenau, Stadt;1;0;0;-1;2
06633017;Lohfelden;32;0;3;4;25
06633018;Naumburg, Stadt;1;0;-1;0;2
06633019;Nieste;3;0;0;0;3
06633020;Niestetal;6;1;0;2;3
06633021;Oberweser;1;0;0;0;1
06633022;Reinhardshagen;2;0;0;0;2
06633023;Schauenburg;28;2;6;4;16
06633024;Söhrewald;6;0;1;0;5
06633025;Trendelburg, Stadt;3;0;1;0;2
06633026;Vellmar, Stadt;32;0;17;5;10
06633027;Wahlsburg;-;0;0;0;0
06633028;Wolfhagen, Hans-Staden-Stadt;10;0;1;1;8
06633029;Zierenberg, Stadt;4;0;1;2;1
06633030;Wesertal;-;-;-;-;-
06633200;Gutsbezirk Reinhardswald, gemfr. Geb.;-;0;0;0;0
06634001;Borken (Hessen), Stadt;4;0;0;2;2
06634002;Edermünde;-;0;0;0;0
06634003;Felsberg, Stadt;-;0;0;0;0
06634004;Frielendorf, Marktflecken;8;1;1;2;4
06634005;Fritzlar, Dom- und Kaiserstadt;13;1;3;2;7
06634006;Gilserberg;1;0;-1;0;2
06634007;Gudensberg, Stadt;-;0;0;0;0
06634008;Guxhagen;-;0;0;0;0
06634009;Homberg (Efze), Reformationsstadt, Kreisstadt;-;0;0;0;0
06634010;Jesberg;1;0;1;0;0
06634011;Knüllwald;-;0;0;0;0
06634012;Körle;1;0;0;0;1
06634013;Malsfeld;4;0;0;0;4
06634014;Melsungen, Stadt;22;2;1;3;16
06634015;Morschen;2;0;0;0;2
06634016;Neuental;3;0;0;0;3
06634017;Neukirchen, Stadt;-;0;0;0;0
06634018;Niedenstein, Stadt;-;0;0;0;0
06634019;Oberaula;-;0;0;0;0
06634020;Ottrau;-;0;0;0;0
06634021;Schrecksbach;2;0;0;0;2
06634022;Schwalmstadt, Konfirmationsstadt;33;5;12;3;13
06634023;Schwarzenborn, Stadt;-;0;0;0;0
06634024;Spangenberg, Liebenbachstadt;3;0;0;0;3
06634025;Wabern;6;0;1;1;4
06634026;Willingshausen;5;1;0;1;3
06634027;Bad Zwesten;1;0;0;-1;2
06635001;Allendorf (Eder);2;0;0;-3;5
06635002;Bad Arolsen, Stadt;6;0;-4;7;3
06635003;Bad Wildungen, Stadt;23;11;3;1;8
06635004;Battenberg (Eder), Stadt;4;0;2;1;1
06635005;Bromskirchen;7;0;2;0;5
06635006;Burgwald;6;1;0;0;5
06635007;Diemelsee;10;-1;2;1;8
06635008;Diemelstadt, Stadt;3;0;0;1;2
06635009;Edertal, Nationalparkgemeinde;8;0;2;2;4
06635010;Frankenau, Nationalparkstadt;2;0;0;1;1
06635011;Frankenberg (Eder), Philipp-Soldan-Stadt;16;0;3;-3;16
06635012;Gemünden (Wohra), Stadt;3;0;0;2;1
06635013;Haina (Kloster);1;-2;0;1;2
06635014;Hatzfeld (Eder), Stadt;-;0;0;0;0
06635015;Korbach, Hansestadt, Kreisstadt;27;-1;3;0;25
06635016;Lichtenfels, Stadt;2;0;0;0;2
06635017;Rosenthal, Stadt;4;1;0;0;3
06635018;Twistetal;6;6;0;0;0
06635019;Vöhl, Nationalparkgemeinde;13;0;0;7;6
06635020;Volkmarsen, Stadt;2;1;0;0;1
06635021;Waldeck, Nationalparkstadt;15;2;1;2;10
06635022;Willingen (Upland);8;0;1;0;7
06636001;Bad Sooden-Allendorf, Stadt;2;0;0;0;2
06636002;Berkatal;2;0;1;1;0
06636003;Eschwege, Kreisstadt;-;1;1;0;-2
06636004;Großalmerode, Stadt;3;0;0;-1;4
06636005;Herleshausen;-;0;0;-1;1
06636006;Hessisch Lichtenau, Stadt;22;-1;3;0;20
06636007;Meinhard;1;0;1;0;0
06636008;Meißner;-;0;0;-1;1
06636009;Neu-Eichenberg;2;0;1;0;1
06636010;Ringgau;-;0;0;0;0
06636011;Sontra, Stadt;6;0;0;2;4
06636012;Waldkappel, Stadt;5;0;0;2;3
06636013;Wanfried, Stadt;3;0;0;1;2
06636014;Wehretal;1;0;0;0;1
06636015;Weißenborn;2;0;0;0;2
06636016;Witzenhausen, Stadt;4;0;-1;-3;8
06636200;Gutsbezirk Kaufunger Wald, gemfr. Geb.;-;0;0;0;0
07111000;Koblenz, kreisfreie Stadt;111;8;15;19;69
07131001;Adenau, Stadt;18;0;2;0;16
07131002;Ahrbrück;3;0;0;1;2
07131003;Altenahr;-;0;0;0;0
07131004;Antweiler;2;1;0;0;1
07131005;Aremberg;5;0;5;0;0
